"format_id","column","company_id","x","y","widht","height","font","font_size","bold","underlined","italic","strikethrough","color"
0,"",0,0,0,0,0,"",0,0,0,0,0,0
2,"account",0,398,12,1792,68,"Arial",-8,400,0,0,0,0
2,"account_code",0,46,12,347,68,"Arial",-8,400,0,0,0,0
2,"amount",0,2496,236,338,64,"Arial",-8,400,0,0,0,0
2,"amount_spelled_out",0,73,328,2752,64,"Arial",-8,400,0,0,0,0
2,"band_detail",0,0,0,0,192,"",0,0,0,0,0,0
2,"band_header",0,0,0,0,828,"",0,0,0,0,0,0
2,"beneficiary",0,370,236,2103,64,"Arial",-8,400,0,0,0,0
2,"concept",0,64,500,2757,216,"Arial",-8,400,0,0,0,0
2,"credit",0,2487,12,288,68,"Arial",-8,400,0,0,0,0
2,"date",0,1723,44,585,64,"Arial",-8,400,0,0,0,0
2,"debit",0,2194,12,288,68,"Arial",-8,400,0,0,0,0
2,"disclaimer",0,1870,140,955,64,"Arial",-7,400,0,0,0,0
