"journal_entry_id","line_item","company_id","account_id","description","debit","credit"
0,0,0,0,"",0.0,0.0
4273,1,1,737,"Final Balance 2014",0.0,0.0
4273,2,1,356,"Final Balance 2014",300591.34,0.0
4273,3,1,359,"Final Balance 2014",0.0,0.0
4273,4,1,383,"Final Balance 2014",0.0,0.0
4273,5,1,755,"Final Balance 2014",0.0,0.0
4273,6,1,780,"Final Balance 2014",111120.0,0.0
4273,7,1,787,"Final Balance 2014",0.0,0.0
4273,8,1,800,"Final Balance 2014",0.0,0.0
4273,9,1,806,"Final Balance 2014",0.0,0.0
4273,10,1,616,"Final Balance 2014",0.0,0.0
4273,11,1,621,"Final Balance 2014",0.0,0.0
4273,12,1,386,"Final Balance 2014",100000.0,0.0
4273,13,1,791,"Final Balance 2014",0.0,0.0
4273,14,1,792,"Final Balance 2014",0.0,0.0
4273,15,1,409,"Final Balance 2014",0.0,0.0
4273,16,1,717,"Final Balance 2014",4516.0,0.0
4273,17,1,784,"Final Balance 2014",1080690.1,0.0
4273,18,1,402,"Final Balance 2014",0.0,0.0
4273,19,1,412,"Final Balance 2014",192784.48,0.0
4273,20,1,413,"Final Balance 2014",0.0,0.0
4273,21,1,418,"Final Balance 2014",225217.39,0.0
4273,22,1,440,"Final Balance 2014",0.0,225217.39
4273,23,1,468,"Final Balance 2014",0.0,0.0
4273,24,1,469,"Final Balance 2014",0.0,0.0
4273,25,1,470,"Final Balance 2014",0.0,23235.0
4273,26,1,635,"Final Balance 2014",0.0,0.0
4273,27,1,640,"Final Balance 2014",0.0,139198.96
4273,28,1,799,"Final Balance 2014",4873.09,0.0
4273,29,1,472,"Final Balance 2014",0.0,0.0
4273,30,1,625,"Final Balance 2014",0.0,0.0
4273,31,1,473,"Final Balance 2014",0.0,812035.17
4273,32,1,488,"Final Balance 2014",0.0,0.0
4273,33,1,481,"Final Balance 2014",0.0,0.0
4273,34,1,483,"Final Balance 2014",0.0,0.0
4273,35,1,485,"Final Balance 2014",0.0,0.0
4273,36,1,644,"Final Balance 2014",0.0,0.0
4273,37,1,475,"Final Balance 2014",0.0,0.0
4273,38,1,477,"Final Balance 2014",0.0,0.0
4273,39,1,476,"Final Balance 2014",0.0,0.0
4273,40,1,478,"Final Balance 2014",0.0,0.0
4273,41,1,479,"Final Balance 2014",0.0,0.0
4273,42,1,490,"Final Balance 2014",0.0,50000.0
4273,43,1,492,"Final Balance 2014",0.0,17896.57
4273,44,1,603,"Final Balance 2014",0.0,47852.92
4273,45,1,649,"Final Balance 2014",0.0,130246.45
4273,46,1,665,"Final Balance 2014",0.0,80665.68
4273,47,1,696,"Final Balance 2014",0.0,394145.97
4273,48,1,712,"Final Balance 2014",0.0,589173.29
4273,49,1,723,"Final Balance 2014",53251.11,0.0
4273,50,1,723,"Final Balance 2014",21273.61,0.0
4273,51,1,748,"Final Balance 2014",56773.64,0.0
4273,52,1,776,"Final Balance 2014",52960.36,0.0
4273,53,1,812,"Final Balance 2014",27045.72,0.0
4273,54,1,813,"Final Balance 2014",122833.43,0.0
4273,55,1,814,"Final Balance 2014",11367.29,0.0
4273,56,1,815,"Final Balance 2014",20173.33,0.0
4273,57,1,816,"Final Balance 2014",124196.51,0.0
4274,1,1,476,"DEC'2014",0.0,0.0
4275,1,1,569,"I-WACA66167",592.69,0.0
4275,2,1,356,"Expenses repotr",0.0,592.69
4276,1,1,544,"I-IWACA66166",343.97,0.0
4276,2,1,412,"I-IWACA66166       ",55.03,0.0
4276,3,1,356,"Expenses repotr",0.0,399.0
4277,1,1,536,"I-SEVAF123895",334.48,0.0
4277,2,1,412,"I-SEVAF123895         ",53.52,0.0
4277,3,1,640,"CENTRO DISTRIBUCION ORIENTE,SA C.V.",0.0,388.0
4277,4,1,569,"AT&T",733.0,0.0
4277,5,1,640,"AT&T",0.0,733.0
4277,6,1,571,"I-474639",1583.55,0.0
4277,7,1,412,"I-474639        ",253.45,0.0
4277,8,1,640,"Hedge",0.0,1837.0
4278,1,1,569,"ComCast",769.0,0.0
4278,2,1,799,"ComCast",0.0,769.0
4278,3,1,569,"DIF debit Card",133.58,0.0
4278,4,1,799,"DIF debit Card",0.0,133.58
4279,1,1,780,"I-K1038",116480.0,0.0
4279,2,1,778,"I-K1038",0.0,116480.0
4280,1,1,356,"Invoice Payment K 1037",78790.56,0.0
4280,2,1,780,"Invoice Payment K 1037",0.0,111120.0
4280,3,1,784,"Invoice K 1037",38809.44,0.0
4280,4,1,585,"Invoice K 1037",0.0,6480.0
4281,1,1,637,"IKEA BURBANK",2537.32,0.0
4281,2,1,356,"IKEA BURBANK",0.0,2537.32
4281,3,1,637,"TEPPAN STEAK",693.63,0.0
4281,4,1,356,"TEPPAN STEAK",0.0,693.63
4282,1,1,588,"Online Banking fee",220.0,0.0
4282,2,1,356,"Online Banking fee",0.0,220.0
4282,3,1,412,"Tax from online banking",35.2,0.0
4282,4,1,356,"Tax from online banking",0.0,35.2
4282,5,1,588,"Bank fee - wire transfer fee",442.65,0.0
4282,6,1,356,"Bank fee - wire transfer fee",0.0,442.65
4282,7,1,412,"Tax from wire transfer fees",70.82,0.0
4282,8,1,356,"Tax from wire transfer fees",0.0,70.82
4283,1,1,780,"I-K1039",118400.0,0.0
4283,2,1,778,"I-K1039",0.0,118400.0
4284,1,1,797,"I-A 1967",100031.74,0.0
4284,2,1,412,"I-A 1967     ",16005.08,0.0
4284,3,1,356,"INT.87711014  ",0.0,116036.82
4285,1,1,637,"MAYFAIR MARKET",278.99,0.0
4285,2,1,356,"MAYFAIR MARKET",0.0,278.99
4285,3,1,637,"MAYFAIR MARKET",663.87,0.0
4285,4,1,356,"MAYFAIR MARKET",0.0,663.87
4285,5,1,637,"SUPERMARK",889.41,0.0
4285,6,1,356,"SUPERMARK",0.0,889.41
4285,7,1,637,"RAFFALLO'S PIZZA",571.95,0.0
4285,8,1,356,"RAFFALLO'S PIZZA",0.0,571.95
4285,9,1,637,"ZANKOU",409.7,0.0
4285,10,1,356,"ZANKOU",0.0,409.7
4285,11,1,637,"BELLA VISTA P",745.12,0.0
4285,12,1,356,"BELLA VISTA P",0.0,745.12
4285,13,1,637,"MAYFAIR MARKET",148.73,0.0
4285,14,1,356,"MAYFAIR MARKET",0.0,148.73
4285,15,1,637,"99 CENTS ONLY",316.97,0.0
4285,16,1,356,"99 CENTS ONLY",0.0,316.97
4285,17,1,637,"VEGAS SEAFOOD B",551.39,0.0
4285,18,1,356,"VEGAS SEAFOOD B",0.0,551.39
4285,19,1,637,"THE HOME DEPOT",438.91,0.0
4285,20,1,356,"THE HOME DEPOT",0.0,438.91
4285,21,1,637,"POLLO CAMPERO",242.18,0.0
4285,22,1,356,"POLLO CAMPERO",0.0,242.18
4285,23,1,637,"POPEYES",288.84,0.0
4285,24,1,356,"POPEYES",0.0,288.84
4285,25,1,637,"TACO BELL",194.87,0.0
4285,26,1,356,"TACO BELL",0.0,194.87
4285,27,1,637,"SLOAN'S BREAKFAST",734.5,0.0
4285,28,1,356,"SLOAN'S BREAKFAST",0.0,734.5
4285,29,1,637,"POMME FRITE",1798.78,0.0
4285,30,1,356,"POMME FRITE",0.0,1798.78
4286,1,1,569,"ComCast",770.0,0.0
4286,2,1,799,"ComCast",0.0,770.0
4286,3,1,637,"BEST WESTERN",1455.81,0.0
4286,4,1,799,"BEST WESTERN",0.0,1455.81
4286,5,1,637,"T MOBILE",2415.52,0.0
4286,6,1,799,"T MOBILE",0.0,2415.52
4286,7,1,637,"FRESH & EASY",546.21,0.0
4286,8,1,799,"FRESH & EASY",0.0,546.21
4286,9,1,637,"BERLIN CURRYWURST",333.45,0.0
4286,10,1,799,"BERLIN CURRYWURST",0.0,333.45
4286,11,1,637,"LOTERIA GRILL",763.05,0.0
4286,12,1,799,"LOTERIA GRILL",0.0,763.05
4286,13,1,637,"9021 PHO SUNSET",631.97,0.0
4286,14,1,799,"9021 PHO SUNSET",0.0,631.97
4286,15,1,637,"CVS PHARMACY",437.37,0.0
4286,16,1,799,"CVS PHARMACY",0.0,437.37
4286,17,1,637,"99 CENTS",727.97,0.0
4286,18,1,799,"99 CENTS",0.0,727.97
4286,19,1,637,"SHAKEY'S",368.48,0.0
4286,20,1,799,"SHAKEY'S",0.0,368.48
4286,21,1,637,"SUPERMARK",1095.12,0.0
4286,22,1,799,"SUPERMARK",0.0,1095.12
4286,23,1,637,"AMAZON",342.39,0.0
4286,24,1,799,"AMAZON",0.0,342.39
4286,25,1,637,"MAYFAIR MARKET",1055.57,0.0
4286,26,1,799,"MAYFAIR MARKET",0.0,1055.57
4286,27,1,637,"MAYFAIR MARKET",158.82,0.0
4286,28,1,799,"MAYFAIR MARKET",0.0,158.82
4286,29,1,637,"TARGET",476.91,0.0
4286,30,1,799,"TARGET",0.0,476.91
4286,31,1,637,"CORKYS KITCHEN",597.38,0.0
4286,32,1,799,"CORKYS KITCHEN",0.0,597.38
4286,33,1,588,"Annual fee",750.0,0.0
4286,34,1,799,"Annual fee",0.0,750.0
4286,35,1,637,"AMAZON",414.16,0.0
4286,36,1,799,"AMAZON",0.0,414.16
4286,37,1,637,"BW CARPINTERIA INN",4012.93,0.0
4286,38,1,799,"BW CARPINTERIA INN",0.0,4012.93
4286,39,1,637,"JetBlue",5454.0,0.0
4286,40,1,799,"JetBlue",0.0,5454.0
4286,41,1,637,"AMAZON",714.72,0.0
4286,42,1,799,"AMAZON",0.0,714.72
4286,43,1,637,"SHAKEY'S",430.61,0.0
4286,44,1,799,"SHAKEY'S",0.0,430.61
