"report_id","company_id","report_group_id","report_code","report","object","object_summary","orientation","footer","help_text","summary","function_name"
0,0,0,"","","","","",0,"",0,""
1,1,1,"1","Balance Sheet (no detail)","d_rep_balance_general_mayor","","V",0,"Balance Sheet with accounts that do not allow posting",0,"uf_x_rep_prepare_balance_sheet_no_detail"
2,1,1,"2","Profit and Loss (no detail)","d_rep_estado_resultado_mayor","","V",0,"Profit and Loss statement with accounts that do not allow posting",0,"uf_x_rep_prepare_profit_loss_no_detail"
3,1,1,"3","Balance Sheet (detailed)","d_rep_balance_general_detalle","","V",0,"Balance Sheet showing detailed accounts (postable)",0,"uf_x_rep_prepare_balance_sheet_detailed"
4,1,1,"4","Profit and Loss (detailed)","d_rep_estado_resultado_detalle","","V",0,"Proft and Loss statement showing detailed accounts (postable)",0,"uf_x_rep_prepare_profit_loss_detailed"
5,1,2,"1","Trial Balance (no detail)","d_rep_balanza_comprobacion_mayor","","V",0,"Trial Balance report with accounts that do not allow posting",0,"uf_x_rep_prepare_trial_balance_no_detail"
6,1,2,"2","Trial Balance (detailed)","d_rep_balanza_comprobacion_detalle","","V",1,"Trial Balance report showing detailed accounts (postable)",0,"uf_x_rep_prepare_trial_balance_detailed"
7,1,3,"1","General Ledger (no detail)","d_rep_libro_mayor","","V",1,"Current balances at top-level accounts (non-postable)",0,"uf_x_rep_prepare_ledger_no_detail"
8,1,3,"2","General Ledger (detail)","d_rep_libro_diario","","V",1,"Current balances showing the postings on each account",0,"uf_x_rep_prepare_ledger_detailed"
9,1,4,"1","Assets Accounts Summary","d_rep_cedula_activo","","V",0,"Details line items for accounts in the Assets group",0,"uf_x_rep_prepare_assets_accounts"
10,1,4,"2","Liability Accounts Summary","d_rep_cedula_pasivo","","V",0,"Details line items for accounts in the Liabilities group",0,"uf_x_rep_prepare_liabilities_accounts"
11,1,5,"1","Gain and loss inflationary","d_rep_inflacionaria","","V",1,"",1,"uf_x_rep_prepare_inflationary_gain"
12,1,5,"2","Gain and loss inflationary - Daily","d_rep_inflacionaria_diaria","","H",1,"",0,"uf_x_rep_prepare_inflationary_gain_daily"
13,1,5,"3","Tax Returns","d_rep_declaracion","","V",0,"Prepare the summary of balances needed for a Tax Return",0,"uf_x_rep_prepare_tax_return_balances"
14,1,6,"1","Checkbook Reconciliation","d_rep_conciliacion_bancaria","","H",1,"Details checkbook accounts",0,"uf_x_rep_prepare_checbook_reconciliation"
15,1,5,"4","VAT Tax Reconciliation","d_rep_iva_por_pagar","","H",1,"Summary of collected and accrued VAT",0,"uf_x_rep_prepare_vat_summary"
